antecedents_text,consequents_text,antecedent support,consequent support,support,confidence,lift,conviction,leverage,CF,rule
topic:ios,topic:android,0.051937113980909604,0.06400898371701291,0.033688938798427846,0.6486486486486486,10.133712660028449,2.6639744309592706,0.03036449691531516,0.6246210217415975,topic:ios  →  topic:android
topic:android,topic:ios,0.06400898371701291,0.051937113980909604,0.033688938798427846,0.5263157894736842,10.133712660028449,2.0014660927069685,0.03036449691531516,0.5003662546950735,topic:android  →  topic:ios
topic:go,lang:go,0.04126895002807412,0.09517125210555867,0.03705783267827063,0.8979591836734693,9.435193546445126,8.867321729365516,0.03313021503101709,0.8872263767436852,topic:go  →  lang:go
lang:go,topic:go,0.09517125210555867,0.04126895002807412,0.03705783267827063,0.3893805309734513,9.435193546445126,1.5700957774902553,0.03313021503101709,0.36309617901242563,lang:go  →  topic:go
topic:golang,lang:go,0.05249859629421673,0.09517125210555867,0.0446378439079169,0.8502673796791443,8.93407789503573,6.042963423437874,0.03964148676481205,0.8345182768901992,topic:golang  →  lang:go
lang:go,topic:golang,0.09517125210555867,0.05249859629421673,0.0446378439079169,0.4690265486725664,8.93407789503573,1.7844609769792255,0.03964148676481205,0.43960668633235006,lang:go  →  topic:golang
topic:pytorch,topic:deep-learning,0.05474452554744526,0.09994385176866928,0.03537338573834924,0.6461538461538462,6.465168539325844,2.543636940653761,0.029902006991889246,0.6068621334996881,topic:pytorch  →  topic:deep-learning
topic:deep-learning,topic:pytorch,0.09994385176866928,0.05474452554744526,0.03537338573834924,0.35393258426966295,6.465168539325843,1.4630910821961285,0.029902006991889246,0.3165155524706087,topic:deep-learning  →  topic:pytorch
topic:typescript,lang:typescript,0.05334081976417743,0.11173498034811903,0.03537338573834924,0.6631578947368422,5.93509653530812,2.637036777091522,0.029413350290246318,0.6207864794730189,topic:typescript  →  lang:typescript
lang:typescript,topic:typescript,0.11173498034811903,0.05334081976417743,0.03537338573834924,0.31658291457286436,5.93509653530812,1.3851851240215347,0.029413350290246318,0.2780748344331384,lang:typescript  →  topic:typescript
topic:llm,topic:ai,0.06625491297024144,0.07776530039303763,0.030320044918585063,0.45762711864406774,5.884721287401333,1.7003702274003365,0.025167711708939673,0.4118927843562159,topic:llm  →  topic:ai
topic:ai,topic:llm,0.07776530039303763,0.06625491297024144,0.030320044918585063,0.38989169675090246,5.884721287401333,1.5304579237114977,0.025167711708939673,0.3466007888835582,topic:ai  →  topic:llm
topic:machine-learning,topic:data-science,0.12436833239752948,0.05334081976417743,0.03677709152161707,0.29571106094808125,5.543804205774029,1.3441346693732996,0.03014318271882914,0.2560269273716089,topic:machine-learning  →  topic:data-science
topic:data-science,topic:machine-learning,0.05334081976417743,0.12436833239752948,0.03677709152161707,0.6894736842105262,5.543804205774028,2.819830793974057,0.03014318271882914,0.6453687922917263,topic:data-science  →  topic:machine-learning
topic:deep-learning,topic:machine-learning,0.09994385176866928,0.12436833239752948,0.06625491297024144,0.6629213483146068,5.330306642656049,2.5977072805539962,0.053825062792386164,0.6150451563631386,topic:deep-learning  →  topic:machine-learning
topic:machine-learning,topic:deep-learning,0.12436833239752948,0.09994385176866928,0.06625491297024144,0.5327313769751694,5.330306642656049,1.9262071191617371,0.053825062792386164,0.48084502956505093,topic:machine-learning  →  topic:deep-learning
topic:react,lang:typescript,0.06092083099382369,0.11173498034811903,0.033688938798427846,0.5529953917050691,4.949169812194613,1.9871495800459602,0.026881950944541877,0.4967666198651884,topic:react  →  lang:typescript
