support,itemsets,length
0.23638405390230208,lang:python,1
0.14823133071308253,topic:python,1
0.12436833239752948,topic:machine-learning,1
0.11173498034811903,lang:typescript,1
0.09994385176866928,topic:deep-learning,1
0.09854014598540146,lang:python + topic:python,2
0.09517125210555867,lang:go,1
0.08955642897248736,topic:hacktoberfest,1
0.0819764177428411,lang:javascript,1
0.07776530039303763,topic:ai,1
0.07186973610331275,topic:javascript,1
0.06625491297024144,topic:llm,1
0.06625491297024144,topic:deep-learning + topic:machine-learning,2
0.06400898371701291,topic:android,1
0.06344750140370578,lang:c++,1
0.06092083099382369,topic:react,1
0.059797866367209435,topic:docker,1
0.05530600786075238,lang:python + topic:machine-learning,2
0.05474452554744526,topic:pytorch,1
0.05334081976417743,topic:typescript,1
0.05334081976417743,topic:data-science,1
0.05249859629421673,topic:golang,1
0.051937113980909604,topic:ios,1
0.051094890510948905,topic:linux,1
0.049410443571027515,topic:kubernetes,1
0.04744525547445255,lang:python + topic:deep-learning,2
0.047164514317798986,topic:open-source,1
0.04576080853453116,topic:machine-learning + topic:python,2
0.0446378439079169,lang:go + topic:golang,2
0.043234138124649074,topic:computer-vision,1
0.04295339696799551,lang:java,1
0.042391914654688376,topic:devops,1
0.04183043234138124,lang:jupyter notebook,1
0.04126895002807412,topic:go,1
0.04126895002807412,topic:database,1
0.039303761931499155,topic:automation,1
0.0373385738349242,topic:tensorflow,1
0.0373385738349242,topic:flutter,1
0.03705783267827063,lang:go + topic:go,2
0.03677709152161707,topic:data-science + topic:machine-learning,2
0.035934868051656375,lang:rust,1
0.03537338573834924,lang:typescript + topic:typescript,2
0.03537338573834924,topic:artificial-intelligence,1
0.03537338573834924,topic:deep-learning + topic:pytorch,2
0.03537338573834924,lang:python + topic:pytorch,2
0.03509264458169568,topic:security,1
0.03509264458169568,lang:python + topic:llm,2
0.03481190342504211,lang:python + topic:ai,2
0.03481190342504211,topic:rust,1
0.03425042111173498,topic:awesome-list,1
0.03396967995508141,topic:iot,1
0.033688938798427846,topic:android + topic:ios,2
0.033688938798427846,topic:awesome,1
0.033688938798427846,topic:serverless,1
0.033688938798427846,topic:nodejs,1
0.033688938798427846,lang:typescript + topic:react,2
0.03340819764177429,topic:blockchain,1
0.03256597417181359,topic:monitoring,1
0.03228523301516002,topic:testing,1
0.03172375070185289,topic:java,1
0.03116226838854576,topic:windows,1
0.030881527231892195,topic:deep-learning + topic:python,2
0.03060078607523863,topic:reinforcement-learning,1
0.03060078607523863,topic:graphql,1
0.030320044918585063,topic:microservices,1
0.030320044918585063,lang:c,1
0.030320044918585063,lang:dart,1
0.030320044918585063,topic:ai + topic:llm,2
0.0300393037619315,topic:mlops,1
0.0300393037619315,topic:data-visualization,1
0.0300393037619315,topic:api,1
