name,full_name,description,language,stars,forks,watchers,topics_str,search_query
tensorflow,tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,C++,194859,75280,194859,deep-learning|deep-neural-networks|distributed|machine-learning|ml|neural-network|python|tensorflow,machine-learning
prompts.chat,f/prompts.chat,"f.k.a. Awesome ChatGPT Prompts. Share, discover, and collect prompts from the community. Free and open source — self-host for your organization with complete privacy.",HTML,160562,21007,160562,ai|artificial-intelligence|awesome-list|chatgpt|chatgpt-prompts|claude|gemini|gpt|gpt-4|llm|machine-learning|nextjs|open-source|openai|prompt-engineering|prompts|prompts-chat|typescript,machine-learning
transformers,huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training.",Python,159885,33006,159885,audio|deep-learning|deepseek|gemma|glm|hacktoberfest|llm|machine-learning|model-hub|natural-language-processing|nlp|pretrained-models|python|pytorch|pytorch-transformers|qwen|speech-recognition|transformer|vlm,machine-learning
pytorch,pytorch/pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,Python,99422,27588,99422,autograd|deep-learning|gpu|machine-learning|neural-network|numpy|python|tensor,machine-learning
LLMs-from-scratch,rasbt/LLMs-from-scratch,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step",Jupyter Notebook,91367,14062,91367,ai|artificial-intelligence|chatbot|chatgpt|deep-learning|from-scratch|generative-ai|gpt|language-model|large-language-models|llm|machine-learning|neural-networks|python|pytorch|transformers,machine-learning
ML-For-Beginners,microsoft/ML-For-Beginners,"12 weeks, 26 lessons, 52 quizzes, classic Machine Learning for all",Jupyter Notebook,85447,20642,85447,data-science|education|machine-learning|machine-learning-algorithms|machinelearning|machinelearning-python|microsoft-for-beginners|ml|python|r|scikit-learn|scikit-learn-python,machine-learning
cs-video-courses,Developer-Y/cs-video-courses,List of Computer Science courses with video lectures.,,80467,11107,80467,algorithms|bioinformatics|computational-biology|computational-physics|computer-architecture|computer-science|computer-vision|database-systems|databases|deep-learning|embedded-systems|machine-learning|quantum-computing|reinforcement-learning|robotics|security|systems|web-development,machine-learning
llm-course,mlabonne/llm-course,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.,,78655,9147,78655,course|large-language-models|llm|machine-learning|roadmap,machine-learning
netdata,netdata/netdata,"The fastest path to AI-powered full stack observability, even for lean teams.",C,78585,6421,78585,ai|alerting|cncf|data-visualization|database|devops|docker|grafana|influxdb|kubernetes|linux|machine-learning|mcp|mongodb|monitoring|mysql|netdata|observability|postgresql|prometheus,machine-learning
d2l-zh,d2l-ai/d2l-zh,《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。,Python,77430,12258,77430,book|chinese|computer-vision|deep-learning|machine-learning|natural-language-processing|notebook|python,machine-learning
tesseract,tesseract-ocr/tesseract,Tesseract Open Source OCR Engine (main repository),C++,73716,10610,73716,hacktoberfest|lstm|machine-learning|ocr|ocr-engine|tesseract|tesseract-ocr,machine-learning
awesome-scalability,binhnguyennus/awesome-scalability,"The Patterns of Scalable, Reliable, and Performant Large-Scale Systems",,70574,6974,70574,architecture|awesome|awesome-list|backend|big-data|computer-science|design-patterns|devops|distributed-systems|interview|interview-practice|interview-questions|lists|machine-learning|programming|resources|scalability|system|system-design|web-development,machine-learning
OpenBB,OpenBB-finance/OpenBB,"Financial data platform for analysts, quants and AI agents.",Python,66465,6635,66465,ai|crypto|derivatives|economics|equity|finance|fixed-income|machine-learning|openbb|options|python|quantitative-finance|stocks,machine-learning
annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,"🧑‍🏫 60+ Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠",Python,66377,6686,66377,attention|deep-learning|deep-learning-tutorial|gan|literate-programming|lora|machine-learning|neural-networks|optimizers|pytorch|reinforcement-learning|transformer|transformers,machine-learning
scikit-learn,scikit-learn/scikit-learn,scikit-learn: machine learning in Python,Python,65915,26974,65915,data-analysis|data-science|machine-learning|python|statistics,machine-learning
keras,keras-team/keras,Deep Learning for humans,Python,64036,19763,64036,data-science|deep-learning|jax|machine-learning|neural-networks|python|pytorch|tensorflow,machine-learning
llm-app,pathwaycom/llm-app,"Ready-to-run cloud templates for RAG, AI pipelines, and enterprise search with live data. 🐳Docker-friendly.⚡Always in sync with Sharepoint, Google Drive, S3, Kafka, PostgreSQL, real-time data APIs, and more.",Jupyter Notebook,59925,1430,59925,chatbot|hugging-face|llm|llm-local|llm-prompting|llm-security|llmops|machine-learning|open-ai|pathway|rag|real-time|retrieval-augmented-generation|vector-database|vector-index,machine-learning
yolov5,ultralytics/yolov5,YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite,Python,57290,17483,57290,coreml|deep-learning|ios|machine-learning|ml|object-detection|onnx|pytorch|tflite|ultralytics|yolo|yolov3|yolov5,machine-learning
ultralytics,ultralytics/ultralytics,Ultralytics YOLO 🚀,Python,56387,10849,56387,cli|computer-vision|deep-learning|hub|image-classification|instance-segmentation|machine-learning|object-detection|pose-estimation|python|pytorch|rotated-object-detection|segment-anything|tracking|ultralytics|yolo|yolo-world|yolo11|yolo26|yolov8,machine-learning
face_recognition,ageitgey/face_recognition,The world's simplest facial recognition api for Python and the command line,Python,56330,13728,56330,face-detection|face-recognition|machine-learning|python,machine-learning
faceswap,deepfakes/faceswap,Deepfakes Software For All,Python,55191,13407,55191,deep-face-swap|deep-learning|deep-neural-networks|deepface|deepfakes|deeplearning|face-swap|faceswap|fakeapp|machine-learning|myfakeapp|neural-nets|neural-networks|openfaceswap,machine-learning
100-Days-Of-ML-Code,Avik-Jain/100-Days-Of-ML-Code,100 Days of ML Coding,,50706,11481,50706,100-days-of-code-log|100daysofcode|deep-learning|implementation|infographics|linear-algebra|linear-regression|logistic-regression|machine-learning|machine-learning-algorithms|naive-bayes-classifier|python|scikit-learn|siraj-raval|siraj-raval-challenge|support-vector-machines|svm|tutorial,machine-learning
julia,JuliaLang/julia,The Julia Programming Language,Julia,48618,5767,48618,hacktoberfest|hpc|julia|julia-language|julialang|machine-learning|numerical|programming-language|science|scientific,machine-learning
Made-With-ML,GokuMohandas/Made-With-ML,"Learn how to develop, deploy and iterate on production-grade ML applications.",Jupyter Notebook,47398,7453,47398,data-engineering|data-quality|data-science|deep-learning|distributed-ml|distributed-training|llms|machine-learning|mlops|natural-language-processing|python|pytorch|ray,machine-learning
AI-For-Beginners,microsoft/AI-For-Beginners,"12 Weeks, 24 Lessons, AI for All!",Jupyter Notebook,46867,9612,46867,ai|artificial-intelligence|cnn|computer-vision|deep-learning|gan|machine-learning|microsoft-for-beginners|nlp|rnn,machine-learning
airflow,apache/airflow,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",Python,45185,16929,45185,airflow|apache|apache-airflow|automation|dag|data-engineering|data-integration|data-orchestrator|data-pipelines|data-science|elt|etl|machine-learning|mlops|orchestration|python|scheduler|workflow|workflow-engine|workflow-orchestration,machine-learning
streamlit,streamlit/streamlit,Streamlit — A faster way to build and share data apps.,Python,44348,4214,44348,data-analysis|data-science|data-visualization|deep-learning|developer-tools|machine-learning|python|streamlit,machine-learning
TensorFlow-Examples,aymericdamien/TensorFlow-Examples,TensorFlow Tutorial and Examples for Beginners (support TF v1 & v2),Jupyter Notebook,43783,14761,43783,deep-learning|examples|machine-learning|python|tensorflow|tutorial,machine-learning
gradio,gradio-app/gradio,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!",Python,42427,3413,42427,data-analysis|data-science|data-visualization|deep-learning|deploy|gradio|gradio-interface|interface|machine-learning|models|python|python-notebook|ui|ui-components,machine-learning
