source,target,weight
huggingface/transformers,tensorflow/tensorflow,3
pytorch/pytorch,tensorflow/tensorflow,4
rasbt/LLMs-from-scratch,tensorflow/tensorflow,3
Developer-Y/cs-video-courses,tensorflow/tensorflow,2
d2l-ai/d2l-zh,tensorflow/tensorflow,3
labmlai/annotated_deep_learning_paper_implementations,tensorflow/tensorflow,2
keras-team/keras,tensorflow/tensorflow,4
tensorflow/tensorflow,ultralytics/yolov5,3
tensorflow/tensorflow,ultralytics/ultralytics,3
deepfakes/faceswap,tensorflow/tensorflow,3
Avik-Jain/100-Days-Of-ML-Code,tensorflow/tensorflow,3
GokuMohandas/Made-With-ML,tensorflow/tensorflow,3
microsoft/AI-For-Beginners,tensorflow/tensorflow,2
streamlit/streamlit,tensorflow/tensorflow,3
aymericdamien/TensorFlow-Examples,tensorflow/tensorflow,4
gradio-app/gradio,tensorflow/tensorflow,3
ray-project/ray,tensorflow/tensorflow,5
deepspeedai/DeepSpeed,tensorflow/tensorflow,2
microsoft/qlib,tensorflow/tensorflow,3
roboflow/supervision,tensorflow/tensorflow,4
google-ai-edge/mediapipe,tensorflow/tensorflow,2
BVLC/caffe,tensorflow/tensorflow,2
CMU-Perceptual-Computing-Lab/openpose,tensorflow/tensorflow,2
explosion/spaCy,tensorflow/tensorflow,4
openai/CLIP,tensorflow/tensorflow,2
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,tensorflow/tensorflow,3
lutzroeder/netron,tensorflow/tensorflow,5
eriklindernoren/ML-From-Scratch,tensorflow/tensorflow,2
Lightning-AI/pytorch-lightning,tensorflow/tensorflow,3
benthecoder/yt-channels-DS-AI-ML-CS,tensorflow/tensorflow,4
AUTOMATIC1111/stable-diffusion-webui,tensorflow/tensorflow,1
opencv/opencv,tensorflow/tensorflow,1
dair-ai/Prompt-Engineering-Guide,tensorflow/tensorflow,1
CorentinJ/Real-Time-Voice-Cloning,tensorflow/tensorflow,3
coqui-ai/TTS,tensorflow/tensorflow,2
hpcaitech/ColossalAI,tensorflow/tensorflow,1
floodsung/Deep-Learning-Papers-Reading-Roadmap,tensorflow/tensorflow,1
naptha/tesseract.js,tensorflow/tensorflow,1
TencentARC/GFPGAN,tensorflow/tensorflow,1
babysor/MockingBird,tensorflow/tensorflow,1
huggingface/diffusers,tensorflow/tensorflow,1
mli/paper-reading,tensorflow/tensorflow,1
tensorflow/tensorflow,yunjey/pytorch-tutorial,1
AMAI-GmbH/AI-Expert-Roadmap,tensorflow/tensorflow,3
tatsu-lab/stanford_alpaca,tensorflow/tensorflow,1
JaidedAI/EasyOCR,tensorflow/tensorflow,3
donnemartin/data-science-ipython-notebooks,tensorflow/tensorflow,4
academic/awesome-datascience,tensorflow/tensorflow,2
eugeneyan/applied-ml,tensorflow/tensorflow,2
ZuzooVn/machine-learning-for-software-engineers,tensorflow/tensorflow,2
Tencent/PocketFlow,tensorflow/tensorflow,1
d2l-ai/d2l-en,tensorflow/tensorflow,4
fastai/fastbook,tensorflow/tensorflow,3
lukasmasuch/best-of-ml-python,tensorflow/tensorflow,5
recommenders-team/recommenders,tensorflow/tensorflow,3
afshinea/stanford-cs-229-machine-learning,tensorflow/tensorflow,2
dair-ai/ML-YouTube-Courses,tensorflow/tensorflow,2
stefan-jansen/machine-learning-for-trading,tensorflow/tensorflow,2
bharathgs/Awesome-pytorch-list,tensorflow/tensorflow,4
microsoft/nni,tensorflow/tensorflow,6
Data-Centric-AI-Community/fg-data-profiling,tensorflow/tensorflow,3
tangyudi/Ai-Learn,tensorflow/tensorflow,4
huggingface/datasets,tensorflow/tensorflow,3
AccumulateMore/CV,tensorflow/tensorflow,3
ShusenTang/Dive-into-DL-PyTorch,tensorflow/tensorflow,1
keon/awesome-nlp,tensorflow/tensorflow,2
dair-ai/ml-visuals,tensorflow/tensorflow,2
camel-ai/camel,tensorflow/tensorflow,1
oxford-cs-deepnlp-2017/lectures,tensorflow/tensorflow,2
Unstructured-IO/unstructured,tensorflow/tensorflow,3
kmario23/deep-learning-drizzle,tensorflow/tensorflow,3
OpenMOSS/MOSS,tensorflow/tensorflow,1
allenai/allennlp,tensorflow/tensorflow,2
ludwig-ai/ludwig,tensorflow/tensorflow,4
chiphuyen/stanford-tensorflow-tutorials,tensorflow/tensorflow,4
autogluon/autogluon,tensorflow/tensorflow,3
openvinotoolkit/openvino,tensorflow/tensorflow,1
jadore801120/attention-is-all-you-need-pytorch,tensorflow/tensorflow,1
lazyprogrammer/machine_learning_examples,tensorflow/tensorflow,3
amusi/Deep-Learning-Interview-Book,tensorflow/tensorflow,2
stanfordnlp/stanza,tensorflow/tensorflow,3
HumanSignal/label-studio,tensorflow/tensorflow,1
junyanz/pytorch-CycleGAN-and-pix2pix,tensorflow/tensorflow,1
spmallick/learnopencv,tensorflow/tensorflow,3
amusi/CVPR2026-Papers-with-Code,tensorflow/tensorflow,3
tensorflow/tensorflow,wkentaro/labelme,2
cvat-ai/cvat,tensorflow/tensorflow,2
NVIDIA/DeepLearningExamples,tensorflow/tensorflow,2
davisking/dlib,tensorflow/tensorflow,3
davidsandberg/facenet,tensorflow/tensorflow,2
carla-simulator/carla,tensorflow/tensorflow,1
