id,stars,language
tensorflow/tensorflow,194859,c++
f/prompts.chat,160562,html
huggingface/transformers,159885,python
pytorch/pytorch,99422,python
rasbt/LLMs-from-scratch,91367,jupyter notebook
microsoft/ML-For-Beginners,85447,jupyter notebook
Developer-Y/cs-video-courses,80467,unknown
mlabonne/llm-course,78655,unknown
netdata/netdata,78585,c
d2l-ai/d2l-zh,77430,python
tesseract-ocr/tesseract,73716,c++
binhnguyennus/awesome-scalability,70574,unknown
OpenBB-finance/OpenBB,66465,python
labmlai/annotated_deep_learning_paper_implementations,66377,python
scikit-learn/scikit-learn,65915,python
keras-team/keras,64036,python
pathwaycom/llm-app,59925,jupyter notebook
ultralytics/yolov5,57290,python
ultralytics/ultralytics,56387,python
ageitgey/face_recognition,56330,python
deepfakes/faceswap,55191,python
Avik-Jain/100-Days-Of-ML-Code,50706,unknown
JuliaLang/julia,48618,julia
GokuMohandas/Made-With-ML,47398,jupyter notebook
microsoft/AI-For-Beginners,46867,jupyter notebook
apache/airflow,45185,python
streamlit/streamlit,44348,python
aymericdamien/TensorFlow-Examples,43783,jupyter notebook
gradio-app/gradio,42427,python
ray-project/ray,42295,python
deepspeedai/DeepSpeed,42188,python
microsoft/qlib,41216,python
paperless-ngx/paperless-ngx,39873,python
photoprism/photoprism,39569,go
roboflow/supervision,38228,python
google-research/google-research,37787,jupyter notebook
LAION-AI/Open-Assistant,37417,python
fengdu78/Coursera-ML-AndrewNg-Notes,36780,html
google-ai-edge/mediapipe,34915,c++
BVLC/caffe,34623,c++
TheAlgorithms/C-Plus-Plus,34114,c++
patchy631/ai-engineering-hub,34065,jupyter notebook
CMU-Perceptual-Computing-Lab/openpose,33998,c++
ItzCrazyKns/Vane,33952,typescript
explosion/spaCy,33506,python
openai/CLIP,33319,jupyter notebook
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,33168,unknown
lutzroeder/netron,32803,javascript
eriklindernoren/ML-From-Scratch,31368,python
Lightning-AI/pytorch-lightning,31080,python
thedaviddias/Front-End-Checklist,72511,unknown
yangshun/front-end-interview-handbook,43938,mdx
joshbuchea/HEAD,30267,unknown
rwf2/Rocket,25723,rust
responsively-org/responsively-app,24883,typescript
clockworklabs/SpacetimeDB,24587,rust
actix/actix-web,24583,rust
thedaviddias/Front-End-Performance-Checklist,17287,unknown
mdn/content,10712,markdown
greatfrontend/top-javascript-interview-questions,9335,mdx
httpie/http-prompt,9111,python
webstudio-is/webstudio,8464,typescript
FineUploader/fine-uploader,8173,javascript
markodenic/web-development-resources,8057,javascript
P1xt/p1xt-guides,7208,unknown
stagewise-io/stagewise,6610,typescript
WhitestormJS/whs.js,6338,javascript
web-platform-tests/wpt,5900,html
Xtremilicious/projectlearn-project-based-learning,5797,typescript
rstudio/shiny,5644,r
thedaviddias/Front-End-Design-Checklist,5241,unknown
JohnSundell/Publish,4964,swift
FrontendMasters/front-end-handbook-2018,4209,html
esm-dev/esm.sh,4079,go
jorisvink/kore,3821,c
youneslaaroussi/ui-buttons,3748,css
redom/redom,3433,javascript
Chalarangelo/mini.css,2955,css
mikestefanello/pagoda,2929,go
aws-amplify/amplify-cli,2875,typescript
ml-tooling/best-of-web-python,2710,unknown
Ismaestro/angular-example-app,2380,typescript
codingknite/frontend-development,2313,unknown
zualex/devmap,2258,unknown
wubaiqing/zaobao,2250,javascript
mdn/translated-content,1979,markdown
validator/validator,1925,java
webcrumbs-community/webcrumbs,1798,roff
Esri/esri-leaflet,1675,javascript
benthecoder/yt-channels-DS-AI-ML-CS,1582,unknown
keshavgbpecdelhi/Web-Development,1526,javascript
Asabeneh/30-Days-Of-HTML,1497,html
honzaap/Systemizer,1458,typescript
Spiderpig86/Cirrus,1424,scss
jstrieb/urlpages,1384,javascript
planety/prologue,1332,nim
lwsjs/local-web-server,1270,javascript
gowebly/gowebly,1204,go
AUTOMATIC1111/stable-diffusion-webui,162588,python
opencv/opencv,87229,c++
dair-ai/Prompt-Engineering-Guide,73776,mdx
CorentinJ/Real-Time-Voice-Cloning,59638,python
coqui-ai/TTS,45165,python
hpcaitech/ColossalAI,41377,python
floodsung/Deep-Learning-Papers-Reading-Roadmap,39493,python
naptha/tesseract.js,38035,javascript
TencentARC/GFPGAN,37435,python
babysor/MockingBird,36908,python
huggingface/diffusers,33440,python
mli/paper-reading,32924,unknown
yunjey/pytorch-tutorial,32297,python
AMAI-GmbH/AI-Expert-Roadmap,30929,javascript
tatsu-lab/stanford_alpaca,30260,python
JaidedAI/EasyOCR,29351,python
donnemartin/data-science-ipython-notebooks,29022,python
academic/awesome-datascience,28885,unknown
eugeneyan/applied-ml,28780,unknown
ZuzooVn/machine-learning-for-software-engineers,28753,unknown
tauri-apps/tauri,105844,rust
immich-app/immich,98550,typescript
Solido/awesome-flutter,59753,dart
react-native-elements/react-native-elements,25816,mdx
CarGuo/gsy_github_app_flutter,15441,dart
bagisto/opensource-ecommerce-mobile-app,14866,dart
budtmo/docker-android,14504,python
organicmaps/organicmaps,13762,c++
goabstract/Marketing-for-Engineers,13099,unknown
OWASP/mastg,12847,python
niedev/RTranslator,9816,c++
berty/berty,9162,typescript
uber/RIBs,7917,kotlin
nextcloud/android,5298,kotlin
tanprathan/MobileApp-Pentest-Cheatsheet,5188,unknown
TomBursch/kitchenowl,3211,dart
Tencent/PocketFlow,2912,python
yubo725/flutter-osc,2898,dart
MarnoDev/react-native-open-project,2449,unknown
zhanghuanchong/icon-workshop,2294,php
BlackZhangJX/Android-Notes,2131,unknown
robertodoering/harpy,2076,dart
AshampooSystems/boden,1743,c++
Livinglist/Hacki,1547,dart
leinelissen/jellyfin-audio-player,1368,typescript
openfoodfacts/smooth-app,1300,dart
LemmyNet/jerboa,1287,kotlin
SEAbdulbasit/MusicApp-KMP,1190,kotlin
trentpiercy/trace,1146,dart
Eronred/aso-skills,1113,shell
ZoneMinder/zmNinja,1087,javascript
prateek147/DVIA-v2,1074,swift
stevenpersia/tinder-react-native,1056,javascript
threema-ch/threema-android,961,kotlin
thielepaul/photoprism-mobile,880,dart
kuraydev/react-native-bouncy-checkbox,874,typescript
immuni-app/immuni-app-android,843,kotlin
chainapsis/keplr-wallet,829,typescript
dopebase/react-native-recipes-app,816,javascript
AkoWu101/flutter_starter_kit,804,dart
aws-samples/swift-chat,789,typescript
nathansdev/ContraFlutterKit,684,dart
osudroid/osu-droid,673,java
bailabs/tailpos,653,javascript
Hash-Studios/Prism,638,dart
urmilshroff/dashboard_reborn,589,dart
AngeloAvv/flutter_flavorizr,564,dart
vshymanskyy/ViperIDE,549,python
piggyvault/piggyvault,543,dart
immuni-app/immuni-app-ios,541,swift
apache/superset,72574,typescript
Asabeneh/30-Days-Of-Python,61607,python
pandas-dev/pandas,48565,python
microsoft/Data-Science-For-Beginners,34957,jupyter notebook
d2l-ai/d2l-en,28703,python
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,28166,jupyter notebook
fastai/fastbook,24899,jupyter notebook
plotly/dash,24149,python
sinaptik-ai/pandas-ai,23485,python
lukasmasuch/best-of-ml-python,23441,unknown
matplotlib/matplotlib,22732,python
PrefectHQ/prefect,22243,python
recommenders-team/recommenders,21662,python
marimo-team/marimo,20609,python
afshinea/stanford-cs-229-machine-learning,19361,unknown
akfamily/akshare,18549,python
dair-ai/ML-YouTube-Courses,17159,unknown
stefan-jansen/machine-learning-for-trading,17143,jupyter notebook
ipython/ipython,16693,python
bharathgs/Awesome-pytorch-list,16480,unknown
piskvorky/gensim,16397,python
treeverse/dvc,15563,python
dagster-io/dagster,15383,python
oxnr/awesome-bigdata,14360,unknown
microsoft/nni,14347,python
virgili0/Virgilio,14331,jupyter notebook
visenger/awesome-mlops,13873,unknown
mwaskom/seaborn,13827,python
Data-Centric-AI-Community/fg-data-profiling,13526,python
jpmorganchase/python-training,12958,jupyter notebook
tangyudi/Ai-Learn,12923,unknown
trinodb/trino,12752,java
microsoft/RD-Agent,12654,python
rasbt/python-machine-learning-book,12604,jupyter notebook
google-research/bert,40000,python
hankcs/HanLP,36272,python
srbhr/Resume-Matcher,26803,typescript
sebastianruder/NLP-progress,22972,python
huggingface/datasets,21446,python
bee-san/Ciphey,21347,rust
RasaHQ/rasa,21139,python
QwenLM/Qwen,21066,python
AccumulateMore/CV,20295,jupyter notebook
ShusenTang/Dive-into-DL-PyTorch,19373,jupyter notebook
keon/awesome-nlp,18435,unknown
arc53/DocsGPT,17849,python
dair-ai/ml-visuals,17119,unknown
camel-ai/camel,16772,python
oxford-cs-deepnlp-2017/lectures,15855,unknown
graykode/nlp-tutorial,14886,jupyter notebook
nltk/nltk,14595,python
Unstructured-IO/unstructured,14554,html
languagetool-org/languagetool,14407,java
flairNLP/flair,14370,python
kmario23/deep-learning-drizzle,12802,html
RUCAIBox/LLMSurvey,12150,python
OpenMOSS/MOSS,12104,python
allenai/allennlp,11891,python
google/sentencepiece,11782,c++
ludwig-ai/ludwig,11676,python
huggingface/tokenizers,10666,rust
doccano/doccano,10634,python
chiphuyen/stanford-tensorflow-tutorials,10382,python
autogluon/autogluon,10259,python
Mooler0410/LLMsPracticalGuide,10177,unknown
openvinotoolkit/openvino,10137,c++
stanfordnlp/CoreNLP,10067,java
jadore801120/attention-is-all-you-need-pytorch,9701,python
sloria/TextBlob,9513,python
lazyprogrammer/machine_learning_examples,8868,python
clips/pattern,8860,python
amusi/Deep-Learning-Interview-Book,8810,unknown
jessevig/bertviz,8028,python
stanfordnlp/stanza,7778,python
thunlp/WantWords,7112,javascript
HumanSignal/label-studio,27129,typescript
lucidrains/vit-pytorch,25112,python
junyanz/pytorch-CycleGAN-and-pix2pix,25091,python
spmallick/learnopencv,22890,jupyter notebook
amusi/CVPR2026-Papers-with-Code,22467,unknown
graphdeco-inria/gaussian-splatting,21528,python
MaaAssistantArknights/MaaAssistantArknights,20437,c++
screenpipe/screenpipe,18382,rust
microsoft/AirSim,18125,c++
pytorch/vision,17639,python
NVlabs/instant-ngp,17366,cuda
wkentaro/labelme,15785,python
cvat-ai/cvat,15708,python
NVIDIA/DeepLearningExamples,14791,jupyter notebook
davisking/dlib,14365,c++
davidsandberg/facenet,14316,python
carla-simulator/carla,13882,c++
mlfoundations/open_clip,13734,python
junyanz/CycleGAN,12855,lua
jacobgil/pytorch-grad-cam,12776,python
zalandoresearch/fashion-mnist,12711,python
alicevision/Meshroom,12685,qml
extreme-assistant/CVPR2024-Paper-Code-Interpretation,12494,unknown
colmap/colmap,11527,c++
qubvel-org/segmentation_models.pytorch,11507,python
nerfstudio-project/nerfstudio,11490,python
kornia/kornia,11184,python
PointCloudLibrary/pcl,10966,c++
phillipi/pix2pix,10625,lua
voxel51/fiftyone,10605,python
rerun-io/rerun,10583,rust
esimov/caire,10476,go
trimstray/the-book-of-secret-knowledge,217175,unknown
bregman-arie/devops-exercises,82152,python
nektos/act,70023,go
go-gitea/gitea,55089,go
getsentry/sentry,43683,python
Kong/kong,43254,lua
httpie/cli,37995,python
awesome-foss/awesome-sysadmin,33674,unknown
Dokploy/dokploy,33449,typescript
dokku/dokku,31857,shell
MichaelCade/90DaysOfDevOps,29432,shell
kestra-io/kestra,26762,java
yeasy/docker_practice,25989,go
jenkinsci/jenkins,25229,java
containrrr/watchtower,24590,go
lensapp/lens,23154,unknown
argoproj/argo-cd,22709,go
getsops/sops,21600,go
stan-smith/FossFLOW,19775,typescript
dariubs/GoBooks,19365,go
probelabs/goreplay,19288,go
milanm/DevOps-Roadmap,19269,unknown
kubesphere/kubesphere,16912,go
wtfutil/wtf,16863,go
apache/apisix,16511,lua
dagger/dagger,15706,go
CISOfy/lynis,15554,shell
go-task/task,15379,go
theonedev/onedev,14891,java
semaphoreui/semaphore,13534,go
Unleash/unleash,13415,typescript
dastergon/awesome-sre,13162,unknown
infracost/infracost,12272,go
meolu/walle-web,12023,python
kubeshark/kubeshark,11882,go
encoredev/encore,11863,go
adnanh/webhook,11769,go
trimstray/test-your-sysadmin-skills,11569,unknown
grafana/pyroscope,11385,go
kubescape/kubescape,11326,go
openspug/spug,10985,javascript
TwiN/gatus,10759,go
bunkerity/bunkerweb,10352,python
healthchecks/healthchecks,9983,python
johnkerl/miller,9846,go
geerlingguy/ansible-for-devops,9723,python
flyway/flyway,9721,java
unslothai/unsloth,62871,python
sgl-project/sglang,26380,python
AI4Finance-Foundation/FinGPT,19787,jupyter notebook
Unity-Technologies/ml-agents,19352,c#
tensorflow/tensor2tensor,17204,python
microsoft/agent-lightning,17016,python
datawhalechina/leedl-tutorial,16502,jupyter notebook
ddbourgin/numpy-ml,16338,python
MathFoundationRL/Book-Mathematical-Foundation-of-Reinforcement-Learning,15528,matlab
