id,stars,language
tensorflow/tensorflow,194931,c++
f/prompts.chat,161118,html
huggingface/transformers,160082,python
pytorch/pytorch,99523,python
rasbt/LLMs-from-scratch,91705,jupyter notebook
microsoft/ML-For-Beginners,85538,jupyter notebook
Developer-Y/cs-video-courses,80537,unknown
mlabonne/llm-course,78810,unknown
netdata/netdata,78651,c
d2l-ai/d2l-zh,77511,python
tesseract-ocr/tesseract,73801,c++
binhnguyennus/awesome-scalability,70694,unknown
OpenBB-finance/OpenBB,66702,python
labmlai/annotated_deep_learning_paper_implementations,66458,python
scikit-learn/scikit-learn,65947,python
keras-team/keras,64052,python
pathwaycom/llm-app,59888,jupyter notebook
ultralytics/yolov5,57313,python
ultralytics/ultralytics,56582,python
ageitgey/face_recognition,56352,python
deepfakes/faceswap,55192,python
Avik-Jain/100-Days-Of-ML-Code,50793,unknown
JuliaLang/julia,48642,julia
GokuMohandas/Made-With-ML,47445,jupyter notebook
microsoft/AI-For-Beginners,47063,jupyter notebook
apache/airflow,45232,python
streamlit/streamlit,44392,python
aymericdamien/TensorFlow-Examples,43783,jupyter notebook
gradio-app/gradio,42461,python
ray-project/ray,42364,python
deepspeedai/DeepSpeed,42217,python
microsoft/qlib,41431,python
paperless-ngx/paperless-ngx,40030,python
photoprism/photoprism,39585,go
roboflow/supervision,38253,python
google-research/google-research,37819,jupyter notebook
LAION-AI/Open-Assistant,37417,python
fengdu78/Coursera-ML-AndrewNg-Notes,36816,html
google-ai-edge/mediapipe,35005,c++
BVLC/caffe,34620,c++
patchy631/ai-engineering-hub,34349,jupyter notebook
TheAlgorithms/C-Plus-Plus,34140,c++
CMU-Perceptual-Computing-Lab/openpose,34052,c++
ItzCrazyKns/Vane,34052,typescript
explosion/spaCy,33525,python
openai/CLIP,33358,jupyter notebook
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,33311,unknown
lutzroeder/netron,32819,javascript
eriklindernoren/ML-From-Scratch,31397,python
Lightning-AI/pytorch-lightning,31092,python
AMAI-GmbH/AI-Expert-Roadmap,30942,javascript
qdrant/qdrant,30847,rust
iperov/DeepFaceLive,30776,python
JaidedAI/EasyOCR,29369,python
donnemartin/data-science-ipython-notebooks,29043,python
academic/awesome-datascience,28935,unknown
eugeneyan/applied-ml,28790,unknown
ZuzooVn/machine-learning-for-software-engineers,28757,unknown
d2l-ai/d2l-en,28725,python
dmlc/xgboost,28330,c++
ChristosChristofidis/awesome-deep-learning,27990,unknown
fastai/fastai,27988,jupyter notebook
srbhr/Resume-Matcher,26856,typescript
mozilla/DeepSpeech,26750,c++
terryum/awesome-deep-learning-papers,26125,tex
modular/modular,25912,mojo
datawhalechina/pumpkin-book,25797,unknown
ageron/handson-ml,25655,jupyter notebook
mlflow/mlflow,25629,python
shap/shap,25358,jupyter notebook
deepset-ai/haystack,25018,mdx
fastai/fastbook,24913,jupyter notebook
mxgmn/WaveFunctionCollapse,24893,c#
trekhleb/homemade-machine-learning,24499,jupyter notebook
harvard-edge/cs249r_book,23890,python
PaddlePaddle/Paddle,23865,c++
lukasmasuch/best-of-ml-python,23454,unknown
sebastianruder/NLP-progress,22970,python
spmallick/learnopencv,22900,jupyter notebook
serengil/deepface,22649,python
amusi/CVPR2026-Papers-with-Code,22497,unknown
nautechsystems/nautilus_trader,22338,rust
MLEveryday/100-Days-Of-ML-Code,22242,jupyter notebook
TheAlgorithms/C,21969,c
jina-ai/serve,21875,python
recommenders-team/recommenders,21663,python
zergtant/pytorch-handbook,21628,jupyter notebook
huggingface/datasets,21463,python
RasaHQ/rasa,21145,python
Zeyi-Lin/HivisionIDPhotos,21056,python
onnx/onnx,20733,python
marimo-team/marimo,20694,python
AccumulateMore/CV,20504,jupyter notebook
EthicalML/awesome-production-machine-learning,20468,unknown
microsoft/onnxruntime,20384,c++
AI4Finance-Foundation/FinGPT,19873,jupyter notebook
k4yt3x/video2x,19719,c++
Unity-Technologies/ml-agents,19365,c#
afshinea/stanford-cs-229-machine-learning,19364,unknown
iperov/DeepFaceLab,19164,python
AUTOMATIC1111/stable-diffusion-webui,162664,python
opencv/opencv,87285,c++
dair-ai/Prompt-Engineering-Guide,73996,mdx
CorentinJ/Real-Time-Voice-Cloning,59649,python
coqui-ai/TTS,45195,python
hpcaitech/ColossalAI,41373,python
naptha/tesseract.js,38039,javascript
TencentARC/GFPGAN,37441,python
babysor/MockingBird,36901,python
huggingface/diffusers,33501,python
mli/paper-reading,32943,unknown
yunjey/pytorch-tutorial,32305,python
tatsu-lab/stanford_alpaca,30265,python
deezer/spleeter,28188,python
svc-develop-team/so-vits-svc,28058,python
HumanSignal/label-studio,27170,typescript
WZMIAOMIAO/deep-learning-for-image-processing,26226,python
junyanz/pytorch-CycleGAN-and-pix2pix,25103,python
HumanSignal/labelImg,24931,python
microsoft/JARVIS,24681,python
pyg-team/pytorch_geometric,23705,python
Tencent/ncnn,23168,c++
SYSTRAN/faster-whisper,22491,python
ShusenTang/Dive-into-DL-PyTorch,19375,jupyter notebook
tensorflow/tfjs,19115,typescript
keon/awesome-nlp,18465,unknown
mlc-ai/web-llm,17852,typescript
ujjwalkarn/Machine-Learning-Tutorials,17768,unknown
mrdbourke/pytorch-deep-learning,17764,jupyter notebook
NLP-LOVE/ML-NLP,17648,jupyter notebook
microsoft/CNTK,17602,c++
Mikoto10032/DeepLearning,17430,jupyter notebook
tensorflow/tensor2tensor,17220,python
stefan-jansen/machine-learning-for-trading,17196,jupyter notebook
dair-ai/ML-YouTube-Courses,17183,unknown
UFund-Me/Qbot,17142,jupyter notebook
dair-ai/ml-visuals,17133,unknown
unslothai/unsloth,63256,python
sgl-project/sglang,26696,python
microsoft/agent-lightning,17059,python
datawhalechina/leedl-tutorial,16510,jupyter notebook
ddbourgin/numpy-ml,16341,python
MathFoundationRL/Book-Mathematical-Foundation-of-Reinforcement-Learning,15825,matlab
ShangtongZhang/reinforcement-learning-an-introduction,14639,python
bulletphysics/bullet3,14443,c++
datawhalechina/easy-rl,14093,jupyter notebook
owainlewis/awesome-artificial-intelligence,13559,unknown
DLR-RM/stable-baselines3,13185,python
kmario23/deep-learning-drizzle,12804,html
Farama-Foundation/Gymnasium,11802,python
wandb/wandb,11039,python
aws/amazon-sagemaker-examples,10912,jupyter notebook
vwxyzjn/cleanrl,9660,python
MorvanZhou/Reinforcement-learning-with-tensorflow,9455,python
OpenRLHF/OpenRLHF,9431,python
OpenPipe/ART,9362,python
Hvass-Labs/TensorFlow-Tutorials,9273,jupyter notebook
lazyprogrammer/machine_learning_examples,8867,python
VowpalWabbit/vowpal_wabbit,8679,c++
MorvanZhou/PyTorch-Tutorial,8457,jupyter notebook
google/trax,8303,python
google-deepmind/pysc2,8279,python
lucidrains/PaLM-rlhf-pytorch,7870,python
tensorlayer/TensorLayer,7391,python
hijkzzz/Awesome-LLM-Strawberry,6905,unknown
pliang279/awesome-multimodal-ml,6865,unknown
yandexdataschool/Practical_RL,6488,jupyter notebook
jason718/awesome-self-supervised-learning,6384,unknown
tensorpack/tensorpack,6292,python
om-ai-lab/VLM-R1,5950,python
georgezouq/awesome-ai-in-finance,5831,unknown
rohitg00/ai-engineering-from-scratch,5589,python
keras-rl/keras-rl,5555,python
rllm-org/rllm,5460,python
google-deepmind/open_spiel,5180,c++
udacity/deep-reinforcement-learning,5166,jupyter notebook
InternLM/xtuner,5129,python
inclusionAI/AReaL,5118,python
NVlabs/Sana,5113,python
hiyouga/EasyR1,4898,python
huggingface/deep-rl-class,4863,mdx
CarperAI/trlx,4745,python
andri27-ts/Reinforcement-Learning,4714,jupyter notebook
google-deepmind/dm_control,4558,python
kwai/DouZero,4542,python
BinRoot/TensorFlow-Book,4440,jupyter notebook
suragnair/alpha-zero-general,4426,jupyter notebook
janhuenermann/neurojs,4374,javascript
opendilab/awesome-RLHF,4354,unknown
AI4Finance-Foundation/ElegantRL,4319,python
rasbt/reasoning-from-scratch,4249,jupyter notebook
dalinvip/Awesome-ChatGPT,4190,unknown
changyeyu/LLM-RL-Visualized,4170,python
google-deepmind/acme,3977,python
open-spaced-repetition/fsrs4anki,3921,jupyter notebook
arXivTimes/arXivTimes,3901,unknown
ikostrikov/pytorch-a2c-ppo-acktr-gail,3898,python
polyaxon/polyaxon,3704,unknown
ashishpatel26/Andrew-NG-Notes,3673,jupyter notebook
rlcode/reinforcement-learning,3631,python
opendilab/DI-engine,3622,python
PaddlePaddle/awesome-DeepLearning,3618,jupyter notebook
junxiaosong/AlphaZero_Gomoku,3609,python
google-research/football,3589,python
wzhe06/Reco-papers,3535,python
girafe-ai/ml-course,3475,jupyter notebook
microsoft/tensorwatch,3468,jupyter notebook
TJU-DRL-LAB/AI-Optimizer,3465,python
PaddlePaddle/PARL,3462,python
datamllab/rlcard,3453,python
pytorch/rl,3413,python
pytorch/ELF,3412,c++
aiming-lab/MetaClaw,3407,python
Farama-Foundation/PettingZoo,3396,python
catalyst-team/catalyst,3376,python
XinJingHao/DRL-Pytorch,3376,python
HenryNdubuaku/maths-cs-ai-compendium,3319,typescript
tensorforce/tensorforce,3308,python
Farama-Foundation/HighwayEnv,3244,python
RLinf/RLinf,3224,python
tirthajyoti/Data-science-best-resources,3199,unknown
seungeunrho/minimalRL,3192,python
astorfi/Deep-Learning-Roadmap,3188,python
SkyworkAI/Skywork-R1V,3163,python
danijar/dreamerv3,3157,python
google/brax,3140,jupyter notebook
luspr/awesome-ml-courses,3075,unknown
tensorflow/agents,3008,python
langflow-ai/langflow,147508,python
langchain-ai/langchain,135344,python
microsoft/generative-ai-for-beginners,110004,jupyter notebook
microsoft/ai-agents-for-beginners,60055,jupyter notebook
asgeirtj/system_prompts_leaks,39193,unknown
langchain-ai/langgraph,30777,python
aishwaryanr/awesome-generative-ai-guide,26438,html
usestrix/strix,24671,python
yamadashy/repomix,24095,typescript
vercel/ai,23895,typescript
a2aproject/A2A,23494,shell
wandb/openui,22267,typescript
coze-dev/coze-studio,20650,typescript
dyad-sh/dyad,20195,typescript
NirDiamant/agents-towards-production,18959,jupyter notebook
NVIDIA-NeMo/NeMo,17148,python
lyogavin/airllm,16900,jupyter notebook
GoogleCloudPlatform/generative-ai,16747,jupyter notebook
ai-shifu/ChatALL,16371,javascript
Tencent/WeKnora,14076,go
dottxt-ai/outlines,13750,python
rowboatlabs/rowboat,13173,typescript
liyupi/ai-guide,12727,javascript
steven2358/awesome-generative-ai,11919,unknown
saturndec/waoowaoo,11869,typescript
Portkey-AI/gateway,11510,typescript
zoicware/RemoveWindowsAI,11488,powershell
tensorzero/tensorzero,11286,rust
KalyanKS-NLP/llm-engineer-toolkit,10345,unknown
openvinotoolkit/openvino,10150,c++
Netflix/metaflow,10063,python
Acly/krita-ai-diffusion,10033,python
Anil-matcha/Open-Generative-AI,9980,javascript
miurla/morphic,8805,typescript
FoundationVision/VAR,8678,jupyter notebook
bentoml/BentoML,8610,python
0x4m4/hexstrike-ai,8382,python
aliasrobotics/cai,8325,python
2FastLabs/agent-squad,7597,python
HBAI-Ltd/Toonflow-app,7490,html
evidentlyai/evidently,7432,jupyter notebook
open-mmlab/mmagic,7424,jupyter notebook
poloclub/transformer-explainer,7238,javascript
0xPlaygrounds/rig,7095,rust
traceloop/openllmetry,7048,python
amitness/learning,6856,unknown
grab/cursor-talk-to-figma-mcp,6709,javascript
TencentQQGYLab/AppAgent,6695,python
katanemo/plano,6402,rust
GoogleCloudPlatform/agent-starter-pack,6349,python
Lightricks/LTX-2,6167,python
NVIDIA-NeMo/Guardrails,6057,python
ashishps1/learn-ai-engineering,5427,unknown
TaskingAI/TaskingAI,5379,python
potpie-ai/potpie,5356,python
business-science/ai-data-science-team,5182,python
h2oai/h2o-llmstudio,4915,python
maximhq/bifrost,4436,go
truefoundry/cognita,4410,python
decodingai-magazine/llm-twin-course,4330,python
mongodb-developer/GenAI-Showcase,4224,jupyter notebook
JetBrains/koog,4133,kotlin
eseckel/ai-for-grant-writing,4124,python
SylphAI-Inc/AdalFlow,4118,python
microsoft/PyRIT,3773,python
IBM/mcp-context-forge,3633,python
sdv-dev/SDV,3477,python
aurelio-labs/semantic-router,3465,python
filipecalegario/awesome-generative-ai,3426,unknown
iusztinpaul/hands-on-llms,3406,jupyter notebook
