repository,degree_centrality,pagerank_score,hub_score,authority_score,id,stars,language,source_edge_count,target_edge_count,total_edge_count
instill-ai/instill-core,0.4411682111766358,0.0007991589918502988,0.0009714561531831815,0.0009714561531831805,instill-ai/instill-core,2309,python,720,851,1571
GitHubDaily/GitHubDaily,0.43414771131704577,0.0007982171338060356,0.0009263615051541732,0.0009263615051541729,GitHubDaily/GitHubDaily,46287,unknown,1430,116,1546
cossacklabs/themis,0.4153327716933446,0.0007972209888311162,0.0008065937236078446,0.0008065937236078455,cossacklabs/themis,1962,c,983,496,1479
arc53/DocsGPT,0.44650379106992416,0.0007840951573594275,0.001085474925821259,0.0010854749258212568,arc53/DocsGPT,17860,python,1176,414,1590
flwrlabs/flower,0.4279696714406066,0.000775146689819966,0.0010079193340953323,0.0010079193340953316,flwrlabs/flower,6866,python,818,706,1524
flyteorg/flyte,0.43555181128896375,0.0007729479819594676,0.0010414670188531024,0.001041467018853101,flyteorg/flyte,6966,go,853,698,1551
rohitg00/ai-engineering-from-scratch,0.42656557146868856,0.0007610125577188142,0.0010366256243660714,0.0010366256243660704,rohitg00/ai-engineering-from-scratch,5589,python,258,1261,1519
the-akira/Computer-Science-Resources,0.4133670317326594,0.000760244814058917,0.0009591753790087379,0.000959175379008736,the-akira/Computer-Science-Resources,2760,unknown,132,1340,1472
tirthajyoti/Data-science-best-resources,0.42066835158663296,0.000759258273417544,0.0009985391161989865,0.0009985391161989848,tirthajyoti/Data-science-best-resources,3199,unknown,117,1381,1498
QuivrHQ/quivr,0.39651783206964336,0.0007554279458922115,0.0006728967716711119,0.0006728967716711122,QuivrHQ/quivr,39120,python,1186,226,1412
Xtremilicious/projectlearn-project-based-learning,0.40157259196854816,0.0007505113804453339,0.0009300912017816434,0.0009300912017816417,Xtremilicious/projectlearn-project-based-learning,5809,typescript,1128,302,1430
netdata/netdata,0.40494243190115137,0.0007487461144834928,0.0008467002952292327,0.0008467002952292331,netdata/netdata,78651,c,431,1011,1442
serhii-londar/open-source-mac-os-apps,0.39876439202471214,0.0007458150519228763,0.0008444461165143131,0.0008444461165143138,serhii-londar/open-source-mac-os-apps,48371,unknown,236,1184,1420
modelfoxdotdev/modelfox,0.40550407188991855,0.00073048937007936,0.0009688553074874872,0.000968855307487486,modelfoxdotdev/modelfox,1469,rust,480,964,1444
AIExxplorer/ACERVO_DE_TECNOLOGIA,0.3709632125807358,0.0007292435281901929,0.0007271301142782897,0.0007271301142782891,AIExxplorer/ACERVO_DE_TECNOLOGIA,151,unknown,1307,14,1321
extism/extism,0.37966863240662735,0.0007261513804712063,0.0007776663503566732,0.0007776663503566737,extism/extism,5582,rust,795,557,1352
pulumi/pulumi,0.3875315922493682,0.0007235835345826733,0.0008247540009588454,0.0008247540009588449,pulumi/pulumi,25119,go,313,1067,1380
truefoundry/cognita,0.39960685200786294,0.0007031499603578763,0.001019492185660824,0.0010194921856608228,truefoundry/cognita,4410,python,101,1322,1423
benthecoder/yt-channels-DS-AI-ML-CS,0.38809323223813535,0.000695431249184907,0.0009829863397085334,0.0009829863397085332,benthecoder/yt-channels-DS-AI-ML-CS,1582,unknown,962,420,1382
MycroftAI/mycroft-core,0.38500421229991577,0.0006931505816522681,0.0009254322601156999,0.0009254322601156997,MycroftAI/mycroft-core,6624,python,1204,167,1371
techgaun/awesome-programming-presentations,0.36618927267621454,0.000681053953190701,0.0008159556167743455,0.000815955616774346,techgaun/awesome-programming-presentations,278,unknown,142,1162,1304
huggingface/transformers,0.38725077225498455,0.0006741058582669418,0.0010210646210260215,0.0010210646210260218,huggingface/transformers,160082,python,657,722,1379
ml-tooling/ml-workspace,0.37714125245717495,0.0006701253292569167,0.000964953950542159,0.0009649539505421581,ml-tooling/ml-workspace,3541,jupyter notebook,417,926,1343
devhubapp/devhub,0.3333333333333333,0.0006668810250703375,0.00046146808663621766,0.00046146808663621777,devhubapp/devhub,10083,typescript,747,440,1187
kornia/kornia,0.37377141252457174,0.0006659000507222256,0.0009837249913915514,0.0009837249913915505,kornia/kornia,11190,python,544,787,1331
Tikam02/DevOps-Guide,0.35916877281662457,0.000665270544425456,0.0008085590520508397,0.0008085590520508402,Tikam02/DevOps-Guide,9209,html,1059,220,1279
2FastLabs/agent-squad,0.3684358326312834,0.0006600849545117582,0.000936827660800951,0.0009368276608009491,2FastLabs/agent-squad,7597,python,1307,5,1312
